NO,Department,Name,MODEL,SERIAL,MANUFACTURER,LOG_Number,Installation_Date,Warranty_End,PPM_Q_I_date,PPM_Q_I_engineer,PPM_Q_II_engineer,PPM_Q_III_engineer,PPM_Q_IV_engineer,Unnamed: 14
1,4A,CTG MACHINE,F3,560034-EM18A05070007,EDAN,2456,,,27/03/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
2,4A,ECG MACHINE,SE1200EXPRESS,460016-M19902,EDAN,2452,,,28/03/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
3,4A,PULSE OXIMETER,SAT805,43110928,BITMOS,2455,,,29/03/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
4,4A,ULTRASOUND ECHO,VIVID570N,126721ES70N,GE,2453,,,30/03/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
5,4A,VITAL SIGN MONITOR,IM3,261423-M20A10840001,EDAN,2450,,,31/03/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
6,4A,WEIGHING SCALE,WB-380,17040018,TANITA,2395,,,1/4/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
7,4A,WEIGHING SCALE,WB-380,17010090,TANITA,2398,,,2/4/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
8,4A,WEIGHING SCALE,WB3000,14100168,TANITA,2449,,,3/4/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
9,4B,BP MONITOR,BPOUE,AILA0058,BPONE CARDIOLIME,2438,,,4/4/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
10,4B,DEFIBRILATOR,CARDIO AID 360 B,212060645,INNOMED MED.,2401,,,5/4/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
11,4B,ECG MACHINE,SE-1200EXPRESS,M01603-900630001,EDAN,2407,,,6/4/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
12,4B,ECG MACHINE,EKG PATRIK,AA2479,SEIVA,2430,,,7/4/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
13,4B,ECG MACHINE,SE-1200EXPRESS,460016-M19902#,EDAN,2452,,,8/4/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
14,4B,ECHO MACHINE,VIVIDS70N V206,126721ESTON,GE,2453,,,9/4/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
15,4B,HOLTER MACHINE,CT083S,ID253S092,CARDIOTRACK,2439,,,10/4/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
16,4B,HOLTER RECORDER,CT8035,ID2535084,CARDIOTRACK,2440,,,11/4/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
17,4B,INFUSION PUMP,OPTIMA PT IS,027390/19866310,FRESENIUS,2414,,,12/4/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
18,4B,INFUSION PUMP,OPTIMA PT IS,027390/19866379,FRESENIUS,2418,,,13/04/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
19,4B,INFUSION PUMP,OPTIMA PT IS,027390/19866373,FRESENIUS,2420,,,14/04/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
20,4B,PULSE OXIMETER,IP-1020,CK3019,Infunix Tech.-Vica,2421,,,15/04/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
21,4B,TMT MACHINE,IEC601-1,20080185,LODEBB,2429,,,16/04/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
22,4B,TONOTRACK ABPM,ABPMTONO ,AH117822016,SEIVA,2441,,,17/04/2025,SUJITH,ARUN,SUJITH,ARUN,
23,4B,TONOTRACK ABPM,ABPMTONO ,AH1113132022,SEIVA,2442,,,18/04/2025,SUJITH,ARUN,SUJITH,ARUN,
24,4B,ULTRASOUND ECHO MACHINE,ACUSONX300,313423,SIEMENS,2432,,,19/04/2025,SUJITH,ARUN,SUJITH,ARUN,
25,4B,ULTRASOUND ECHO MACHINE,ACUSON NX3,501461,SIEMENS,2433,,,20/04/2025,SUJITH,ARUN,SUJITH,ARUN,
26,4B,ULTRASOUND ECHO MACHINE,VIVIDS60N,111057S60M,GE,2435,,,21/04/2025,SUJITH,ARUN,SUJITH,ARUN,
27,4B,VITAL SIGN MONITOR,VS600,FU-55003570,MINDRAY,2404,,,22/04/2025,SUJITH,MANU,MANU,MANU,
28,4B,WEIGHING SCALE,WB3000,13010149,TANITA,2403,,,23/04/2025,MANU,SUJITH,MANU,SUJITH,
29,4B,WEIGHING SCALE,2391,EE27212-0132,DETECTO,2428,,,24/04/2025,MANU,SUJITH,MANU,SUJITH,
30,5A,BLOOD WARMER,BW585,13465,MEDIZIN ELEKTRONIK,2504,,,25/04/2025,NIXON,NIXON,JAYAPRAKASH,NIXON,
31,5A,CTG MACHINE,F3,560034-M18A05070004,EDAN,2506,,,26/04/2025,SUJITH,NIXON,JAYAPRAKASH,NIXON,
32,5A,DEFIBRILATOR,CARDIO AID 360B,14206322,INNOMED,2496,,,27/04/2025,NIXON,JAYAPRAKASH,SUJITH,JAYAPRAKASH,
33,5A,DVT MACHINE,DVT-7700,DW70B19110001,Wonjin,2485,,,28/04/2025,JAYAPRAKASH,SUJITH,NIXON,SUJITH,
34,5A,DVT MACHINE,DVT-7700,P770814040004,WONJIN,2486,,,29/04/2025,JAYAPRAKASH,SUJITH,NIXON,SUJITH,
35,5A,DVT MACHINE,DVT-7700,P770V14040003,WONJIN,2487,,,30/04/2025,JAYAPRAKASH,SUJITH,NIXON,SUJITH,
36,5A,ECG MACHINE,SE1200,311072-M1666,EDAN,2509,,,1/5/2025,SUJITH,NIXON,JAYAPRAKASH,NIXON,
37,5A,FETAL DOPPLER,SD3,560027-M20505640001,EDAN,2490,,,2/5/2025,JAYAPRAKASH,JAYAPRAKASH,NIXON,JAYAPRAKASH,
38,5A,INFUSION PUMP,OT-701,26222,JMS,2483,,,3/5/2025,JAYAPRAKASH,SUJITH,NIXON,SUJITH,
39,5A,INFUSION PUMP,ot-701,777,JMS,2500,,,4/5/2025,NIXON,JAYAPRAKASH,SUJITH,JAYAPRAKASH,
40,5A,INFUSION PUMP,ot-701,27395,JMS,2503,,,5/5/2025,NIXON,JAYAPRAKASH,SUJITH,NIXON,
